artifact,metric,matched_count,missing_count,non_numeric_count,max_abs_diff,max_rel_diff,max_abs_match_key,max_rel_match_key,mean_abs_diff,mean_rel_diff,status_changed_count,not_applicable_count,adaptive_xi_count
boundary,__missing__,0,637,0,,,,,,,0,0,3328
boundary,area_residual,3548,0,0,9.896786126522827e-06,195.54717612473019,0.4|53.0,0.4875|5.0,2.3123994574433452e-06,0.485687596655523,0,0,0
boundary,mu_transition_MeV,3548,0,0,7.969628103410287e-05,2.4895669616434245e-07,-0.5|65.0,-0.5|65.0,3.436304246956293e-06,1.0158380084435567e-08,0,0,0
boundary,rho_hadron,3548,0,0,9.85801874886505e-05,0.0021003132320720464,0.4625|109.0,-0.2125|51.0,3.7419493866364715e-06,4.8034431995994066e-05,0,0,0
boundary,rho_quark,3548,0,0,0.00010043482338617515,5.8962990620250484e-05,0.4625|109.0,0.4625|109.0,6.719788652476609e-07,3.044162844302234e-07,0,0,0
cep,T_CEP_MeV,0,0,0,,,,,,,0,57,0
cep,T_bracket_high_MeV,57,0,0,0.0625,0.00045641259698767686,-0.175,-0.175,0.0013706140350877192,1.0429085541037547e-05,0,0,0
cep,T_bracket_low_MeV,57,0,0,0.125,0.0010251153254741158,0.225,0.225,0.005208333333333333,4.3932972215382234e-05,0,0,0
cep,T_first_monotone_MeV,57,0,0,0.0625,0.00045641259698767686,-0.175,-0.175,0.0013706140350877192,1.0429085541037547e-05,0,0,0
cep,T_last_first_order_MeV,57,0,0,0.125,0.0010251153254741158,0.225,0.225,0.005208333333333333,4.3932972215382234e-05,0,0,0
cep,__missing__,0,0,0,,,,,,,0,0,44
cep,ambiguity_width_T_MeV,57,0,0,0.125,1.25,0.225,0.4,0.004934210526315789,0.06140350877192982,0,0,0
cep,bracket_width_T_MeV,57,0,0,0.125,1.25,0.225,0.4,0.004934210526315789,0.06140350877192982,0,0,0
cep,muB_CEP_MeV,0,0,0,,,,,,,0,57,0
cep,muB_last_first_order_MeV,57,0,0,0.5119542322847792,0.0005349474454602066,0.225,0.225,0.020520427196278467,2.202836527278778e-05,0,0,0
cep,muq_CEP_MeV,0,0,0,,,,,,,0,57,0
cep,muq_last_first_order_MeV,57,0,0,0.17065141076159307,0.0005349474454602066,0.225,0.225,0.0068401423987583245,2.2028365272783537e-05,0,0,0
cep,result_status,57,0,0,,,,,,,0,0,0
cep,temperature_resolution_target_MeV,57,0,0,0.0,0.0,-0.5,-0.5,0.0,0.0,0,0,0
crossover,T_crossover_MeV,1069,0,0,0.02843239323985358,0.00023337966365485056,0.2875|322.358715374,0.2875|322.358715374,0.0002583049078802082,1.5437218497131654e-06,0,0,0
crossover,derivative,1069,0,0,7.774614511174548,0.04487137633583085,0.2875|322.358715374,0.2875|322.358715374,0.008237698275675064,7.68302885438343e-05,0,0,0
crossover,rho,1069,0,0,0.007117275700445624,0.004067108297540575,0.2875|322.358715374,0.2875|322.358715374,2.6548320589195284e-05,1.4483877207815279e-05,0,0,0
spinodals,__missing__,0,637,0,,,,,,,0,0,3328
spinodals,mu_spinodal_hadron_MeV,3548,0,0,0.0010055079543462853,2.9192428369002155e-06,-0.4625|71.0,-0.4625|71.0,1.0501557747453485e-06,2.9478013268964515e-09,0,0,0
spinodals,mu_spinodal_quark_MeV,3548,0,0,0.0006550706543748674,1.941686010919725e-06,-0.1|45.0,-0.1|45.0,1.1517510669503962e-06,3.3202499832610478e-09,0,0,0
spinodals,rho_spinodal_hadron,3548,0,0,0.0022800872197589195,0.005325751170239812,-0.4625|71.0,-0.4625|71.0,3.5770125923287095e-06,7.285360353683968e-06,0,0,0
spinodals,rho_spinodal_quark,3548,0,0,0.0024957932095932556,0.001294414630583212,0.2625|117.0,0.2625|117.0,5.272596218208009e-06,2.766622366583247e-06,0,0,0
