input_id,kind,value,sha256,source_or_note
calculation_sha,immutable_sha,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,,C0/C1/C2 and RS numerical contract
current_origin_main,git_sha,cc4f71a47f41d3eba20509af0f8409c75d7b9a6d,,origin/main and current isolated worktree HEAD
p128_mode_a_manifest,file,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/manifest.json,3d0a91170a62f570e119d1189d8e79526c008a1a77a94464772d53c3ca9e5f72,source_solver_called=true; aggregate/import solver_called=false; workflow_head=228745...
p128_mode_b_manifest,file,data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/manifest.json,093ff05502f63515ac70b1a3e992971ecbc649c343bc7e591fa4fb1b8fc54921,source_solver_called=true; aggregate/import solver_called=false; workflow_head=228745...
p128_mode_a_effective_config,file,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/effective_config.json,426f5fd061fe217c4a2f277fb155713a0fe9599494ee54b750278e50bee75cd6,128/20/36/24/560; strict-era producer
p128_mode_b_effective_config,file,data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/effective_config.json,283b7fcc1737dc5d594258d4f7ca2aaabd93f33975b9861f1fa27012e6487668,128/20/36/24/560; strict-era producer
accepted_v2_manifest,file,data/reference/pnjl/issue130_phase_reference_v2/manifest.json,3e37d6812c33c4dd15469391247768fe536dc3185fd54543cdaba2713c520be1,promotion_status=accepted_for_downstream; downstream_default_layer=accepted; runtime_default_unchanged in manifest history
source_workflow_head,git_ref,22874505877491754eed27519ad8a7b871c82571,,source p128 workflow/CLI default strict; v2 accepted was not present
current_workflow,file,.github/workflows/relaxtime-phase-guided-transport-production.yml,dfb8598834a4060c09b42dd811bc636f24ed28fa28b41fbb175d4765aef13a99,current workflow accepts p104 quadrature inputs but exposes no phase-reference layer/mode inputs
old_gate_manifest,file,data/outputs/results/relaxtime/transport/phase_guided/first_canonical_v1_p128_validated_anchored_prod_v1_convergence/manifest.json,ae7e0a3632e84fea234a8191ebea3d083462d0d43965cdb33c5e14dbb45526d6,historical first_canonical_v1 case only
old_gate_summary,file,data/outputs/results/relaxtime/transport/phase_guided/first_canonical_v1_p128_validated_anchored_prod_v1_convergence/p104_vs_p128_convergence_gate.summary.json,c603391dd72179ffb4f9a25813390d3b7695368ff435f3e338d752fc0fc58dc6,historical p104/p128 gate; 378 matched points; max_rel<1%
