review_group,case_directories,asset_count,formats,manifest_schemas,figure_modes,style_profiles,proposed_classifications,assets_with_repository_references,repository_reference_count,proposed_action,manual_questions
data/outputs/figures/pnjl/phase_diagram/figure4_phase_diagram_prod_v1,data/outputs/figures/pnjl/phase_diagram/figure4_phase_diagram_prod_v1,2,pdf; png,figure4_phase_diagram_plot_manifest_v1,,,legacy_manifest,2,8,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/pnjl/phase_diagrams,data/outputs/figures/pnjl/phase_diagrams,3,png,,,,legacy_unregistered,3,4,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/cross_section/T100,data/outputs/figures/relaxtime/cross_section/T100,5,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/process_ssbar_to_uubar,data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/process_ssbar_to_uubar,1,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/sqrt_s_group1,data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/sqrt_s_group1,1,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/sqrt_s_group1/ylim_0_10,data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/sqrt_s_group1/ylim_0_10,1,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/sqrt_s_group2,data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/sqrt_s_group2,1,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/sqrt_s_group2/ylim_0_10,data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/sqrt_s_group2/ylim_0_10,1,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/sqrt_s_group3,data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/sqrt_s_group3,1,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/sqrt_s_group3/ylim_0_10,data/outputs/figures/relaxtime/cross_section/T200_muB0_xi0.0/sqrt_s_group3/ylim_0_10,1,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/cross_section/T250,data/outputs/figures/relaxtime/cross_section/T250,5,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/T150,data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/T150,1,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/T190,data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/T190,4,png,,,,legacy_unregistered,1,1,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
