workflow_file,run_id,run_url,created_at,head_branch,head_sha,conclusion,artifact_count,unexpired_artifacts,expired_artifacts,artifact_names,retention_observation,provenance_note
pnjl-c2-cep-limited-feasibility.yml,31660820525,https://github.com/w5851/Julia_RelaxTime/actions/runs/31660820525,2026-08-13T02:26:17Z,main,769077faf5f27b67f9e7f611f1941c0cb29e95fc,success,1,1,0,c2-limited-feasibility-issue130_c2_cep_limited_feasibility_v2_20260813_replay-cep,expires 2026-11-11,aggregate replay
pnjl-c2-cep-manual-bisection.yml,31999149922,https://github.com/w5851/Julia_RelaxTime/actions/runs/31999149922,2026-08-17T05:47:37Z,main,e19b0b253f3d254e3d62091cc9c29b03e9d3cc49,success,1,1,0,c2-cep-manual-bisection-issue130_c2_cep_manual_bisection_audit_v2_20260817-aggregate,expires 2026-11-15,aggregate audit
pnjl-c2-cep-three-midpoint.yml,31990013292,https://github.com/w5851/Julia_RelaxTime/actions/runs/31990013292,2026-08-17T03:05:34Z,main,67d73f871578e35759c08b3c75200c51646cf6cd,success,3,3,0,c2-cep-three-midpoint-xi-0.5;c2-cep-three-midpoint-xi-0.39375;c2-cep-three-midpoint-xi-0.125,expires 2026-11-15,three xi numerical artifacts
pnjl-c2-cep-xi05-high-side-extension.yml,32014476047,https://github.com/w5851/Julia_RelaxTime/actions/runs/32014476047,2026-08-17T09:17:46Z,main,e4d0dbcfe2291460d12fd32d2654c9bb82142a8e,success,1,1,0,c2-cep-xi05-high-side-extension-issue130_c2_cep_xi05_high_side_extension_v1_20260817-aggregate,expires 2026-11-17,aggregate endpoint extension
pnjl-c2-limited-feasibility.yml,31585973884,https://github.com/w5851/Julia_RelaxTime/actions/runs/31585973884,2026-08-12T10:06:54Z,main,524cc91d1efc3b3bc967911bf829359490688ccb,success,1,1,0,c2-limited-feasibility-issue130_c2_density_recovery_overlay_20260812-density,expires 2026-11-10,density diagnostic
pnjl-c2-targeted-closure-v1.yml,31944988128,https://github.com/w5851/Julia_RelaxTime/actions/runs/31944988128,2026-08-16T11:40:53Z,main,72a4aee7946f5d840cf7ae0c0773ae7cd5bf3953,success,1,1,0,c2-targeted-closure-issue130_c2_targeted_closure_v1_20260816_r2_replay4-regression_curves,expires 2026-11-14,targeted closure replay
pnjl-cep-deep-oracle.yml,31710995191,https://github.com/w5851/Julia_RelaxTime/actions/runs/31710995191,2026-08-13T14:35:34Z,main,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,success,4,4,0,cep-deep-oracle-cep_deep_oracle_required_three_targeted_performance_repair_v2_20260813-aggregate;cep-deep-oracle-xi--0.5-T-5.0;cep-deep-oracle-xi-0.0-T-5.0;cep-deep-oracle-xi--0.5-T-20.0,expires 2026-11-11,oracle and targeted shards
pnjl-cep-hybrid-production-shadow.yml,31699449984,https://github.com/w5851/Julia_RelaxTime/actions/runs/31699449984,2026-08-13T12:19:03Z,main,e6d9c55d1fbb1b9f0bd3fe911729716c200eeb56,success,1,1,0,cep-hybrid-production-shadow-cep_hybrid_targeted_performance_repair_20260813_replay-aggregate-replay,expires 2026-11-11,hybrid shadow aggregate
pnjl-cep-narrow-pilot.yml,30342409727,https://github.com/w5851/Julia_RelaxTime/actions/runs/30342409727,2026-07-28T08:26:40Z,codex/issue-130-cep-narrow-pilot-v2,d2f8b1d0c2fb7a6cec7d21a1076a1d24639c9ca5,success,1,1,0,cep-narrow-pilot-v2-cep_narrow_pilot_v2-aggregate-replay,expires 2026-10-26,early pilot replay
pnjl-cep-production-shadow.yml,30527097410,https://github.com/w5851/Julia_RelaxTime/actions/runs/30527097410,2026-07-30T08:32:28Z,main,d1e386deb950169b6d5db9cc3dd0617845ee60e8,success,10,1,9,cep-cascade-production-shadow-cep_cascade_production_shadow_v1_fix_d1e386d-aggregate;cep-cascade-production-shadow-independent_oracle-xi-0.0;cep-cascade-production-shadow-independent_oracle-xi--0.5;cep-cascade-production-shadow-independent_oracle-xi-0.5;cep-cascade-production-shadow-memoized_dense-xi-0.0;cep-cascade-production-shadow-memoized_dense-xi-0.5;cep-cascade-production-shadow-production_cascade-xi--0.5;cep-cascade-production-shadow-production_cascade-xi-0.5;cep-cascade-production-shadow-production_cascade-xi-0.0;cep-cascade-production-shadow-memoized_dense-xi--0.5,expires 2026-10-28 for aggregate; 9 shard artifacts expired,aggregate remains
