claim_id,status,claim,evidence,boundary
pnjl_mag_mfir_family,supported_static,"pnjl_mag and the current Julia magnetic default implement the same high-level MFIR decomposition: zero-field cutoff vacuum, Hurwitz-zeta magnetic correction, and Landau thermal term.",tables/pnjl_mag_source_gate_v1.csv:formula_family,"Static formula-family agreement does not establish fixed-point numeric parity."
pnjl_mag_parameter_profile,supported_static,"The declared PNJL, Polyakov, and IMC parameter snapshot matches the current Julia profile, including a=0.0108805.",tables/pnjl_mag_source_gate_v1.csv:parameter_profile,"The hbarc conversion constant and numerical integration settings are not identical."
pnjl_mag_state_contract,supported_static,"Both implementations expose five-field FixedMu stationarity in the order phi_u,phi_d,phi_s,Phi,Phi_bar.",tables/pnjl_mag_source_gate_v1.csv:state_layout,"External muB must be divided by three before comparison with Julia common quark chemical potential."
pnjl_mag_branch_equivalence,inconclusive,"The existing pnjl_mag local roots are not evidence that both implementations find the same complete branch set.",tables/pnjl_mag_source_gate_v1.csv:solver_and_branch,"pnjl_mag uses one-seed local continuation while Julia retains multiseed candidates."
pnjl_mag_fixedpoint_kernel,supported_external,"One matched fixed-state MFIR Omega oracle agrees after explicit external-hc and IMC-unit mapping (relative difference below 5e-10).",tests/validation/data/targets/pnjl/reference/pnjl_magnetic_external_kernel_targets_v1.csv;tables/pnjl_mag_source_gate_v1.csv:numeric_target,"Kernel-only evidence; it does not validate equilibrium branch selection or a scan."
pnjl_mag_local_equilibrium_replay,supported_external,"The locked external environment replays the author's descending one-seed continuation; nine representative states exactly match the committed CSV and have max residual below 1.7e-13.",pnjl_mag_equilibrium_replay_v1/manifest.json;pnjl_mag_equilibrium_replay_v1/pnjl_mag_equilibrium_replay_v1.csv,"External-only reproducibility; it does not establish Julia branch parity or all-branch completeness."
pnjl_mag_julia_cross_solver_diagnostic,supported_external,"A small Julia multi-seed replay matches the external MFIR Omega branch at three matched high-temperature points and records an additional high-field candidate.",pnjl_mag_cross_solver_replay_v1/manifest.json;pnjl_mag_cross_solver_replay_v1/julia_candidates_high_matched_v1.csv,"Diagnostic branch mapping only; no all-branch completeness, independent convergence matrix, or equilibrium target admission."
pnjl_mag_profile_convergence_diagnostic,supported_external,"A separate source-parity/production-parity convergence diagnostic records fixed-state node sensitivity, independent multi-seed re-solves, seed-order repeatability, and current production-default behavior without mixing the two profiles.",pnjl_mag_convergence_v1/manifest.json,"This is evidence for parameter/unit separation and local convergence only; it does not admit an equilibrium target or prove global branch completeness."
pnjl_magnetic_production_auto_nmax,blocked,"The current automatic magnetic Landau cutoff is not suitable for production acceptance: it is not temperature-aware and is independently resolved per seed before candidate Omega ordering.",pnjl_mag_convergence_v1/production_default_nmax_fixed_state_v1.csv;src/models/pnjl_physics/MagneticGapSolver.jl;src/models/pnjl_physics/core/MagneticIntegrals.jl,"At the tested T=240 MeV points auto n_max resolves to 3, while the lower-field Omega stabilizes only near n_max=383; a common thermal-tail cutoff contract is required."
pnjl_mag_numeric_parity,inconclusive,"No source-gated equilibrium fixed-point parity result is admitted.",tables/pnjl_mag_source_gate_v1.csv:numeric_target,"The admitted row evaluates Omega at an externally supplied state and does not call a root solver."
pnjl_mag_acceptance_target,blocked,"No pnjl_mag equilibrium row is currently a tests/validation acceptance target; one fixed-state kernel-only row is admitted separately.",docs/analysis/historical/legacy/legacy_extraction_v1/manifest.json,"Equilibrium target extraction is blocked by production auto-nmax; after fixing it, reproducible dependencies, matched units/ensemble, wider convergence records, and an explicit branch/output contract remain required."
