workflow_file,family,display_name,primary_function,trigger_and_scope,backend_scripts,current_evidence,retirement_reason,recommended_wave2_action,preserve_or_migration_boundary
pnjl-c2-cep-limited-feasibility.yml,c2_stagec,PNJL C2 CEP Limited Feasibility,"按 xi 运行 CEP limited numerical，或下载 source run 做 aggregate replay","scope=cep；支持 xi shard、failed-only、calculation/source/postprocess SHA","pnjl_c2_cep_limited_feasibility_job.jl; pnjl_c2_cep_limited_feasibility.jl; pnjl_c2_cep_limited_feasibility.py","Issue130 C2 CEP evidence；与 three-midpoint 结构相似度 0.972","Issue130 已闭环，固定入口的目标列表和 replay 合同已有不可变 evidence","direct_retirement_review","保留 frozen bracket 输入、source run、双 SHA、failed-only 和 aggregate schema"
pnjl-c2-cep-three-midpoint.yml,c2_stagec,PNJL C2 CEP Three-Midpoint Refinement,"只对三个固定 CEP midpoint 做 numerical/replay refinement","固定 xi=0.125/0.39375/0.5；numerical 与 aggregate_replay","pnjl_c2_cep_limited_feasibility_job.jl; pnjl_c2_cep_limited_feasibility.py","C2 midpoint audit 与后续作者人工审核包","是 limited-feasibility 的窄目标重复入口，目标已被 accepted CEP evidence 吸收","direct_retirement_review","若归档，保留三点目标列表和每点 artifact 名称，不把窄列表并入 runtime selector"
pnjl-c2-cep-xi05-high-side-extension.yml,c2_stagec,PNJL C2 CEP xi=0.5 High-Side Extension,"为 xi=0.5 向高温侧补充等步长切片并 aggregate","固定 xi=0.5；支持 numerical 与 aggregate replay","pnjl_c2_cep_xi05_high_side_extension_job.jl; pnjl_c2_cep_limited_feasibility_job.jl; pnjl_c2_cep_xi05_high_side_extension.py","作者审核后的 xi=0.5 三温度无 S 形证据","一次性边界修补已进入 accepted CEP evidence，不需要永久手动入口","direct_retirement_review","保留等步长目标列表、边界判定和原始 artifact provenance"
pnjl-c2-limited-feasibility.yml,c2_stagec,PNJL C2 Limited Feasibility,"Issue130 umbrella workflow；运行 Stage-C density shard、aggregate 和 scope plan","scope=density|cep|crossover；支持 numerical/replay、failed-only 和 scope plan","pnjl_c2_limited_feasibility_job.jl; pnjl_c2_limited_feasibility.jl; pnjl_c2_limited_feasibility.py; pnjl_stagec_density_certificate_feasibility_v2.jl","Issue130 v1/v2 feasibility 与后续 v5-v8 phase evidence","umbrella contract 已被 versioned v2/targeted workflow 和 accepted phase evidence 替代","direct_retirement_review","保留 scope、cap、source/calculation/postprocess SHA、成本和 verdict schema"
pnjl-c2-targeted-closure-v1.yml,c2_stagec,PNJL C2 Targeted Closure Diagnostic,"对 regression_curves、CEP bracket 和 cross-axis 做定向数值/回放审计","scope=regression_curves|cep_brackets|cross_axis_audit；支持 failed-only","pnjl_c2_targeted_closure_job.jl; pnjl_c2_targeted_closure.py; pnjl_cep_hybrid_production_shadow.jl","C2 targeted closure evidence 与人工审核记录","目标列表已完成，证据和测试可迁移到脚本/fixture，不需要常驻 Actions 入口","direct_retirement_review","保留 target id、source artifact、双 SHA、cross-axis audit 和失败 provenance"
pnjl-stagec-density-certificate-feasibility-v2.yml,c2_stagec,PNJL Stage-C Density Certificate Feasibility v2,"对 source run 做 solver-free Stage-C density certificate aggregate replay 并绘图","mode=aggregate_replay；固定 source run 和 calculation SHA","pnjl_stagec_density_certificate_feasibility_v2.jl; plot_pnjl_stagec_density_certificate_feasibility_v2.py","C2 v2 feasibility replay evidence","它是历史 replay 证据而非 production/reference 入口，结果已固化在 analysis package","direct_retirement_review","保留 source run、calculation/postprocess SHA、route/cost/verdict 和 solver_called=false"
pnjl-issue130-crossover-mu-endpoint-pilot.yml,issue130_endpoint,PNJL Issue130 Crossover Mu Endpoint Pilot,"对少量 mu endpoint 做 crossover numerical/replay pilot","固定 endpoint target list；numerical 与 aggregate_replay","pnjl_issue130_crossover_mu_endpoint_pilot.jl; collect_pnjl_issue130_crossover_mu_endpoint_pilot.py","phase_surface_series analysis/v6 与后续 v7/v8 evidence","pilot 已被 expansion 和 derived phase surface 结果覆盖，继续保留会增加误触发入口","direct_retirement_review","保留 endpoint target list、source run、输入 hash 和 crossover status semantics"
pnjl-phase-diagram.yml,legacy_phase,PNJL Phase Diagram,"旧 phase structure 扫描、validate boundary/spinodal/crossover 并绘图","xi/T/rho 网格；旧 phase reference 输入；手动 matrix","calculate_phase_structure.jl; validate_phase_data.py; plot_phase_diagram.py","legacy phase-reference audit 与 accepted/dense reference","旧 January workflow 已被 accepted reference/dense reference supersede；但需先迁移 legacy audit 的历史入口名","direct_retirement_review","先迁移 legacy audit 引用并保留 boundary/spinodal/crossover provenance，不能用删除掩盖历史差异"
pnjl-cep-deep-oracle.yml,cep_oracle,PNJL CEP Deep Oracle,"对单个 xi/T 点运行昂贵 deep oracle 并汇总候选","xi/T matrix；固定 calculation SHA；深层 oracle","pnjl_cep_deep_oracle.jl; collect_pnjl_cep_deep_oracle.py","CEP oracle evidence 与 hybrid/oracle mismatch audit","专用 oracle 不是 production 入口；若无新的 CEP 研究需求，active trigger 没有持续价值","historical_replay_review","若保留，必须限制为显式 oracle scope；保留 oracle label、candidate multiplicity 和 run provenance"
pnjl-cep-narrow-pilot.yml,cep_oracle,PNJL CEP Narrow Window Pilot,"旧 pilot 加 v2 discovery/freeze/validation/replay 的多阶段 CEP 流程","固定窄窗口；pilot、v2 discovery、freeze、validation、aggregate","pnjl_cep_narrow_pilot.jl; pnjl_cep_narrow_pilot_v2.jl; freeze_pnjl_cep_narrow_pilot_v2_windows.py; collect/plot scripts","CEP bracket audit、manual bisection 和 accepted endpoint evidence","多阶段 pilot 已完成且高度专用，不能作为通用 production workflow 长期存在","historical_replay_review","保留 frozen windows、oracle ambiguity、source run 和每阶段 schema；不要泛化为 runtime"
