path,old_reference,new_reference,kind,reason
tests/unit/python/test_pnjl_c2_cep_limited_feasibility.py,.github/workflows/pnjl-c2-cep-limited-feasibility.yml; .github/workflows/pnjl-c2-cep-three-midpoint.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留历史三态合同测试
tests/unit/python/test_pnjl_c2_cep_xi05_high_side_extension.py,.github/workflows/pnjl-c2-cep-xi05-high-side-extension.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留边界扩展合同测试
tests/unit/python/test_pnjl_c2_limited_feasibility.py,.github/workflows/pnjl-c2-limited-feasibility.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留 umbrella schema 测试
tests/unit/python/test_pnjl_c2_targeted_closure.py,.github/workflows/pnjl-c2-targeted-closure-v1.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留 closure 合同测试
tests/unit/models/test_pnjl_c2_targeted_closure.jl,.github/workflows/pnjl-c2-targeted-closure-v1.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留 Julia 合同测试
tests/unit/models/test_pnjl_c2_limited_feasibility.jl,.github/workflows/pnjl-c2-limited-feasibility.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留 Julia 合同测试
tests/unit/models/test_pnjl_c2_cep_limited_feasibility.jl,.github/workflows/pnjl-c2-cep-limited-feasibility.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留 Julia 合同测试
tests/unit/python/test_pnjl_cep_deep_oracle.py,.github/workflows/pnjl-cep-deep-oracle.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留 oracle schema 测试
tests/unit/python/test_pnjl_cep_hybrid_production_shadow.py,.github/workflows/pnjl-cep-hybrid-production-shadow.yml; .github/workflows/pnjl-maxwell-endpoint-local-production-shadow-v4.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留 phase-shadow 合同测试
tests/unit/python/test_pnjl_cep_narrow_pilot.py,.github/workflows/pnjl-cep-narrow-pilot.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留 frozen-window 合同测试
tests/unit/python/test_pnjl_cep_production_shadow.py,.github/workflows/pnjl-cep-production-shadow.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留 cascade 合同测试
tests/unit/python/test_pnjl_endpoint_local_contract_feasibility_v2.py,.github/workflows/pnjl-maxwell-endpoint-production-shadow.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留 endpoint-limit 合同测试
tests/unit/python/test_pnjl_issue130_maxwell_cep_local_pilot.py,.github/workflows/pnjl-issue130-maxwell-cep-local-pilot.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留 Maxwell pilot 合同测试；expansion 入口仍 active
tests/unit/python/test_pnjl_maxwell_endpoint_candidate.py,.github/workflows/pnjl-maxwell-endpoint-refinement.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留 endpoint refinement 合同测试
tests/unit/python/test_pnjl_stagec_density_certificate_feasibility_v2.py,.github/workflows/pnjl-stagec-density-certificate-feasibility-v2.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/<same>,workflow_contract_test,保留 solver-free replay 合同测试
docs/dev/active/2026-07-17_PNJL全温区相图热积分与参考生产.md,.github/workflows/pnjl-c2-limited-feasibility.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/pnjl-c2-limited-feasibility.yml,active_task_history,明确该入口已退役但定义仍可审计
scripts/analysis/pnjl/audit_issue130_phase_reference_legacy_retirement.py,.github/workflows/pnjl-phase-diagram.yml,docs/analysis/governance/diagnostic_workflow_retirement_wave2_v1/definitions/pnjl-phase-diagram.yml,migration_audit,将旧 workflow 从 active blocker 改为历史 definition
