workflow_file,family,display_name,primary_function,retirement_reason,action,latest_run_id,latest_run_conclusion,source_sha256,bytes,preserve_boundary
pnjl-c2-cep-limited-feasibility.yml,c2_stagec,PNJL C2 CEP Limited Feasibility,"按 xi 运行 CEP limited numerical 或 aggregate replay","Issue130 已闭环，固定入口由不可变 CEP evidence 吸收",direct_retirement,31660820525,success,781d97c8fdcba8afb7b3bf487589cd71e992dee0cf20b04c368f931b51b873cb,10400,"保留 17 bracket、source/calculation/postprocess SHA、failed-only 和 aggregate schema"
pnjl-c2-cep-three-midpoint.yml,c2_stagec,PNJL C2 CEP Three-Midpoint Refinement,"只对三个固定 CEP midpoint 做 numerical/replay refinement","已被 accepted CEP evidence 吸收，属于 limited-feasibility 的窄目标重复入口",direct_retirement,31990013292,success,302caa8f7c806d3cf963a8862bac06274bff91e50139ac2a60c6abeebf171c5b,10757,"保留三点目标列表和每点 artifact provenance"
pnjl-c2-cep-xi05-high-side-extension.yml,c2_stagec,PNJL C2 CEP xi=0.5 High-Side Extension,"为 xi=0.5 向高温侧补充等步长切片并 replay","一次性边界修补已进入 accepted CEP evidence",direct_retirement,32014476047,success,5be2fd7f93e5133d9e4e9b916de108644abea70613f79481f518f97ea836458f,8050,"保留等步长目标列表、边界判定和 artifact provenance"
pnjl-c2-limited-feasibility.yml,c2_stagec,PNJL C2 Limited Feasibility,"Issue130 umbrella Stage-C density/CEP/crossover workflow","已被 versioned feasibility/targeted evidence 和 accepted phase evidence 替代",direct_retirement,31585973884,success,ed71e452c91693578e01753178972e6bcf6db7d4432904416901f9af6e014250,12256,"保留 scope、cap、双 SHA、成本和 verdict schema"
pnjl-c2-targeted-closure-v1.yml,c2_stagec,PNJL C2 Targeted Closure Diagnostic,"对 regression_curves、CEP bracket 和 cross-axis 做定向审计","目标已完成，证据和测试可迁移到脚本/fixture",direct_retirement,31944988128,success,b5c96597b96d62b009c795b801227007861288638916ad1428bde6b595a126d7,16333,"保留 target id、source artifact、cross-axis audit 和失败 provenance"
pnjl-stagec-density-certificate-feasibility-v2.yml,c2_stagec,PNJL Stage-C Density Certificate Feasibility v2,"对 source run 做 solver-free Stage-C density certificate replay","历史 replay 证据已固化，不是 production/reference 入口",direct_retirement,31315017019,success,f6426c1d2dc39d291ff08ac46a7ba8080c522bf800e8cd5a4c5be7c15e76a169,7481,"保留 source run、双 SHA、route/cost/verdict 和 solver_called=false"
pnjl-issue130-crossover-mu-endpoint-pilot.yml,issue130_endpoint,PNJL Issue130 Crossover Mu Endpoint Pilot,"对少量 mu endpoint 做 crossover numerical/replay pilot","已被 endpoint expansion 和 phase-surface evidence 覆盖",direct_retirement,32139943632,success,013405fde4cc7f0e33be1925ad00ffee553ebf5ac36a5d44f1b0b555f0feb229,7936,"保留 endpoint target list、source run、输入 hash 和 status semantics"
pnjl-phase-diagram.yml,legacy_phase,PNJL Phase Diagram,"旧 phase structure 扫描、validate boundary/spinodal/crossover 并绘图","旧 January workflow 已被 accepted/dense reference supersede；legacy audit 路径已迁移",direct_retirement,20690920271,success,b6d01348e5dc34c6a2d7f710616c5aa290cc6239a4c891cbb913837666ca903b,5080,"保留 legacy boundary/spinodal/crossover provenance，不以删除掩盖历史差异"
pnjl-cep-hybrid-production-shadow.yml,phase_shadow,PNJL CEP Hybrid Production Shadow,"按 xi/method 运行 hybrid phase shadow 并 aggregate/replay","与 phase-shadow family 共用 backend，已无独立常驻入口需求",direct_retirement,31699449984,success,21e0caf18c442d6ed31815b089a36b7a07248b9f770dcc05cdccba8a531b2ebd,10555,"保留 method、deep-oracle、failed-only、source SHA 和 shadow schema"
pnjl-cep-production-shadow.yml,phase_shadow,PNJL CEP Cascade Production Shadow,"运行 cascade phase shadow 并 aggregate/replay","与 hybrid shadow 结构重复，历史 route 由 evidence 保留",direct_retirement,30527097410,success,be54bac29396805c989f3177113fea9b17259f54ff135772f91e13d2e2480bdb,8887,"保留 cascade route、aggregate 和过期 shard 状态"
pnjl-maxwell-endpoint-local-production-shadow-v4.yml,phase_shadow,PNJL Maxwell Endpoint-Local Production Shadow v4,"运行 endpoint-local Maxwell shadow 并 replay","与 CEP hybrid 共用 backend，accepted phase evidence 已覆盖",direct_retirement,31714535418,success,a5a4bd076cbb74b991f39dd7a7395931408d6c4ca2d07940a37ae4df2389ecbd,14549,"保留 endpoint-local scope、failed jobs、deep oracle 和 source SHA"
pnjl-maxwell-endpoint-production-shadow.yml,phase_shadow,PNJL Maxwell Endpoint-Limit Production Shadow,"运行 endpoint-limit Maxwell shadow 并 aggregate/replay","与 hybrid/endpoint-local backend 重复，独立 YAML 维护面已无必要",direct_retirement,30999377195,success,ecf99a93cf5fe8fe203ecab726f3bcc47ed91d91486375ed83036345ef42f24a,9503,"保留 endpoint-limit route、source/deep run、artifact schema 和失败语义"
pnjl-cep-deep-oracle.yml,cep_oracle,PNJL CEP Deep Oracle,"对单个 xi/T 点运行 deep oracle 并汇总候选","无明确未来复用需求，active trigger 无持续价值",direct_retirement,31710995191,success,a05da4a12d5498e86ee9eb4b02f876309df3f3396cbc130bbb241463ef62d3f1,5600,"保留 oracle label、candidate multiplicity 和 run provenance"
pnjl-cep-narrow-pilot.yml,cep_oracle,PNJL CEP Narrow Window Pilot,"旧 pilot/v2 discovery/freeze/validation/replay 多阶段流程","专用 pilot 已完成，无明确未来复用需求",direct_retirement,30342409727,success,66034ef6a9db1b199d5492cbddfc6b079a4c1d7dc99cbeb2a7568afeb185d008,15798,"保留 frozen windows、oracle ambiguity、source run 和阶段 schema"
pnjl-issue130-maxwell-cep-local-pilot.yml,maxwell_local,PNJL Issue130 Maxwell CEP-local Pilot,"对小目标列表运行 Maxwell CEP-local numerical/replay pilot","由保留的 target-list expansion 入口覆盖，避免重复维护",direct_retirement,32237794907,success,79fce70c730783268ad0ca4a9fb5659bcba41d3041a0dac07051fd040be3920e,8769,"保留 pilot target list、candidate feasibility 和历史 artifact"
pnjl-maxwell-endpoint-refinement.yml,maxwell_local,PNJL Maxwell Endpoint Refinement,"运行 endpoint refinement 并检查 candidate feasibility","无独立未来复用需求，专用入口由历史 definition 保留",direct_retirement,30980094983,success,d0cf66f48f536838770f08e6f4157d7f2968b1003418ec3dc74fbfc2a021a167,4689,"保留 endpoint policy、refinement level、source/calculation SHA 和 candidate schema"
