path,kind,role,classification,occurrence_count,reference_tokens,active,retirement_blocker,decision
.github/workflows/pnjl-phase-diagram.yml,workflow_consumer,legacy_input,active_repository_contract,5,"data/reference/pnjl/boundary.csv,data/reference/pnjl/cep.csv,data/reference/pnjl/spinodals.csv",True,True,migration_required_before_delete
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,diagnostic_workflow,historical_snapshot_input,active_repository_contract,7,legacy_phase_reference_v1,True,True,migration_required_before_delete
config/governance/task_tracks.toml,governance_reference,task_or_governance_record,active_governance,1,legacy_phase_reference_v1,True,False,retain_as_governance_evidence
data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/README.md,historical_or_metadata_reference,visualization_or_validation,other_reference,1,--phase-reference-mode legacy,False,False,not_an_active_runtime_consumer
data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/manifest.json,historical_or_metadata_reference,visualization_or_validation,other_reference,1,--phase-reference-mode legacy,False,False,not_an_active_runtime_consumer
data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/README.md,historical_or_metadata_reference,visualization_or_validation,other_reference,1,--phase-reference-mode legacy,False,False,not_an_active_runtime_consumer
data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/manifest.json,historical_or_metadata_reference,visualization_or_validation,other_reference,1,--phase-reference-mode legacy,False,False,not_an_active_runtime_consumer
data/reference/pnjl/issue130_phase_reference_v1/manifest.json,historical_or_metadata_reference,legacy_path_contract,other_reference,5,"data/reference/pnjl/boundary.csv,data/reference/pnjl/cep.csv,data/reference/pnjl/crossover_dense.csv,data/reference/pnjl/phase_reference_dense_manifest.json,data/reference/pnjl/spinodals.csv",False,False,not_an_active_runtime_consumer
data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json,historical_or_metadata_reference,legacy_path_contract,snapshot_metadata,6,"data/reference/pnjl/boundary.csv,data/reference/pnjl/cep.csv,data/reference/pnjl/crossover_dense.csv,data/reference/pnjl/phase_reference_dense_manifest.json,data/reference/pnjl/spinodals.csv,legacy_phase_reference_v1",False,False,not_an_active_runtime_consumer
data/reference/pnjl/legacy_phase_reference_v1/crossover_dense.meta.json,historical_or_metadata_reference,legacy_path_contract,snapshot_metadata,1,data/reference/pnjl/crossover_dense.csv,False,False,not_an_active_runtime_consumer
data/reference/pnjl/legacy_phase_reference_v1/phase_reference_dense_manifest.json,historical_or_metadata_reference,legacy_path_contract,snapshot_metadata,2,"data/reference/pnjl/crossover_dense.csv,data/reference/pnjl/phase_reference_dense_manifest.json",False,False,not_an_active_runtime_consumer
docs/analysis/pnjl/phase_reference/issue130_phase_reference_runtime_consumer_audit_v1/tables/legacy_reference_snapshot.csv,historical_or_metadata_reference,migration_or_audit_tooling,historical_evidence,5,"data/reference/pnjl/boundary.csv,data/reference/pnjl/cep.csv,data/reference/pnjl/crossover_dense.csv,data/reference/pnjl/phase_reference_dense_manifest.json,data/reference/pnjl/spinodals.csv",False,False,not_an_active_runtime_consumer
docs/analysis/pnjl/phase_reference/issue130_rs_transport_runtime_parity_v1/input_inventory.csv,historical_or_metadata_reference,legacy_path_contract,historical_evidence,4,"data/reference/pnjl/boundary.csv,data/reference/pnjl/cep.csv,data/reference/pnjl/crossover_dense.csv,data/reference/pnjl/spinodals.csv",False,False,not_an_active_runtime_consumer
docs/analysis/pnjl/phase_reference/issue130_rs_transport_runtime_parity_v1/manifest.json,historical_or_metadata_reference,legacy_path_contract,historical_evidence,4,"data/reference/pnjl/boundary.csv,data/reference/pnjl/cep.csv,data/reference/pnjl/crossover_dense.csv,data/reference/pnjl/spinodals.csv",False,False,not_an_active_runtime_consumer
docs/analysis/pnjl/phase_reference/issue130_rs_transport_runtime_parity_v2/README.md,historical_or_metadata_reference,legacy_path_contract,historical_evidence,2,"--phase-reference-mode legacy,legacy_phase_reference_v1",False,False,not_an_active_runtime_consumer
docs/analysis/pnjl/phase_reference/issue130_rs_transport_runtime_parity_v2/consumer_source_smoke.json,historical_or_metadata_reference,legacy_path_contract,historical_evidence,2,legacy_phase_reference_v1,False,False,not_an_active_runtime_consumer
docs/analysis/pnjl/phase_reference/issue130_rs_transport_runtime_parity_v2/decision.json,historical_or_metadata_reference,legacy_path_contract,historical_evidence,1,legacy_phase_reference_v1,False,False,not_an_active_runtime_consumer
docs/analysis/pnjl/phase_reference/issue130_rs_transport_runtime_parity_v2/input_inventory.csv,historical_or_metadata_reference,legacy_path_contract,historical_evidence,8,legacy_phase_reference_v1,False,False,not_an_active_runtime_consumer
docs/analysis/pnjl/phase_reference/issue130_rs_transport_runtime_parity_v2/manifest.json,historical_or_metadata_reference,legacy_path_contract,historical_evidence,10,legacy_phase_reference_v1,False,False,not_an_active_runtime_consumer
docs/analysis/relaxtime/issue130_rs_old_reference_physical_deletion_v1/README.md,historical_or_metadata_reference,legacy_path_contract,historical_evidence,1,legacy_phase_reference_v1,False,False,not_an_active_runtime_consumer
docs/analysis/relaxtime/issue130_rs_old_reference_physical_deletion_v1/deletion_manifest.json,historical_or_metadata_reference,legacy_path_contract,historical_evidence,1,legacy_phase_reference_v1,False,False,not_an_active_runtime_consumer
